observed	reference	prediction_mask_follow_up	reference_mask_follow_up	prediction_mask_follow_up_intensity	reference_mask_follow_up_intensity	prediction_make_bin_change	reference_make_bin_change	prediction_change_frequency	reference_change_frequency	prediction_transition	reference_transition	prediction_presence	reference_presence
6655	6665	66XX	666X	66XX_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6665	6665	666X	666X	666X_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6664	6665	666X	666X	666X_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
6655	6665	66XX	666X	66XX_E	666X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig maar laatste LU wel aanwezig	Niet aanwezig maar laatste LU wel aanwezig	Stable absence	Stable absence
9991	9999	999X	9999	999X_I	9999_E	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable absence
0999	9999	0XXX	9999	0XXX_E	9999_E	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
0992	9999	0XXX	9999	0XXX_I	9999_E	Changed	Not changed	Shifted (2 LU Changes)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
6999	6999	6XXX	6XXX	6XXX_E	6XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
6996	6996	6XXX	6XXX	6XXX_E	6XXX_E	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9999	9999	9999	9999	9999_E	9999_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9996	9999	999X	9999	999X_E	9999_E	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3994	3999	3XXX	3XXX	3XXX_E	3XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3339	3339	333X	333X	333X_E	333X_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4233	4333	4XXX	4XXX	4XXX_I	4XXX_E	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3339	3333	333X	3333_E	333X_E	Not changed	Changed	Stable (No Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3133	3333	3XXX	3333_E	3XXX_I	Not changed	Not changed	Stable (No Change)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Intermittent Presence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
0333	3333	0XXX	3333	0XXX_E	3333_E	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3233	3333	3XXX	3333	3XXX_I	3333_E	Not changed	Not changed	Reverted (1 LU in between)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2333	2333	2XXX	2XXX	2XXX_E	2XXX_E	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3343	3323	33XX	33XX	33XX_E	33XX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3333	3333	3333	3333	3333_E	3333_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3444	3444	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
1444	1444	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3444	3444	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
1444	1444	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
0444	4444	0XXX	4444	0XXX_I	4444_E	Changed	Not changed	Shifted (1 Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3444	3444	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3444	3444	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
3444	3444	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
1444	1444	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
2444	2444	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2444	2444	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
1441	1441	1XXX	1XXX	1XXX_I	1XXX_I	Not changed	Not changed	Reverted (1 LU in between)	Reverted (1 LU in between)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable loss	Stable loss
3444	3444	3XXX	3XXX	3XXX_I	3XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
4444	4444	4444	4444	4444_E	4444_E	Not changed	Not changed	Stable (No Change)	Stable (No Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
9444	9444	9XXX	9XXX	9XXX_I	9XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
2844	2444	2XXX	2XXX	2XXX_I	2XXX_I	Changed	Changed	Shifted (2 LU Changes)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Stable absence	Stable absence
1444	1444	1XXX	1XXX	1XXX_I	1XXX_I	Changed	Changed	Shifted (1 Change)	Shifted (1 Change)	Niet aanwezig en laatste LU niet aanwezig	Niet aanwezig en laatste LU niet aanwezig	Eventual gain	Eventual gain
